OBJECTID,CSA2010,teenbir10,teenbir11,teenbir12,teenbir13,teenbir14,teenbir15,teenbir16,teenbir17,teenbir18,SHAPE_Length,SHAPE_Area
28,Highlandtown,77.5862068965517,77.5862068965517,94.8275862068965,103.448275862069,43.1034482758621,68.9655172413793,60.3448275862069,43.1034482758621,60.3448275862069,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,61.624649859944,44.8179271708683,33.6134453781513,5.60224089635854,64.4257703081232,14.0056022408964,8.40336134453782,25.2100840336134,14.0056022408964,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,30,30,10,30,10,10,10,10,10,43415.0595477941,24995836.2620936
31,Lauraville,38.8127853881278,34.2465753424658,27.3972602739726,25.1141552511416,18.2648401826484,18.2648401826484,13.6986301369863,11.4155251141553,20.5479452054795,34419.6765281197,49665744.2382935
32,Loch Raven,57.8358208955224,31.7164179104478,18.6567164179104,24.2537313432836,22.3880597014925,26.1194029850746,41.044776119403,20.5223880597015,11.1940298507463,29314.3346718106,44147812.3259686
33,Madison/East End,81.0126582278481,86.0759493670886,75.9493670886076,55.6962025316456,37.9746835443038,53.1645569620253,32.9113924050633,37.9746835443038,37.9746835443038,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,58.8235294117647,44.1176470588235,44.1176470588235,7.35294117647059,14.7058823529412,36.7647058823529,7.35294117647059,22.0588235294118,18.3823529411765,43152.6256992199,62441489.2397897
35,Midtown,8.01282051282051,4.80769230769231,4.80769230769231,3.2051282051282,6.41025641025641,3.2051282051282,1.6025641025641,9.61538461538462,0,25020.0969697781,23823949.929494
36,Midway/Coldstream,53.7383177570093,79.4392523364486,65.4205607476635,58.411214953271,51.4018691588785,32.7102803738318,46.7289719626168,28.0373831775701,18.6915887850467,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,78.8177339901478,14.7783251231527,39.4088669950739,34.4827586206897,49.2610837438424,73.8916256157636,19.7044334975369,68.9655172413793,49.2610837438424,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,10.8695652173913,10.8695652173913,0,0,10.8695652173913,0,0,0,10.8695652173913,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,3.12256049960968,1.56128024980484,0,0,0.78064012490242,0.78064012490242,0.78064012490242,1.56128024980484,0.78064012490242,42904.2221443837,74923987.6939622
40,Northwood,15.625,13.3928571428571,18.6011904761905,16.3690476190476,11.1607142857143,6.69642857142857,8.18452380952381,6.69642857142857,2.23214285714286,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,74.1839762611276,47.4777448071217,38.5756676557863,41.5430267062315,50.4451038575668,44.5103857566766,44.5103857566766,20.7715133531157,32.6409495548961,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,106.060606060606,111.111111111111,45.4545454545455,90.9090909090909,65.6565656565657,126.262626262626,45.4545454545455,85.8585858585859,116.161616161616,47825.8629265765,89894372.2114828
43,Patterson Park North & East,87.0646766169154,82.089552238806,104.477611940299,67.1641791044776,87.0646766169154,59.7014925373134,59.7014925373134,17.4129353233831,52.2388059701493,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,47.0588235294118,61.7647058823529,79.4117647058823,47.0588235294118,58.8235294117647,32.3529411764706,29.4117647058824,26.4705882352941,23.5294117647059,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,63.7254901960784,46.5686274509804,53.921568627451,56.3725490196078,56.3725490196078,56.3725490196078,63.7254901960784,24.5098039215686,14.7058823529412,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,65.4761904761905,89.2857142857143,53.5714285714286,65.4761904761905,47.6190476190476,47.6190476190476,35.7142857142857,23.8095238095238,23.8095238095238,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,69.8412698412698,61.9047619047619,73.015873015873,46.031746031746,60.3174603174603,39.6825396825397,34.9206349206349,33.3333333333333,34.9206349206349,20987.1433066415,23672092.8680536
48,South Baltimore,0,30.7692307692308,15.3846153846154,46.1538461538462,15.3846153846154,0,0,15.3846153846154,0,68440.0258267645,46353935.42529
49,Southeastern,67.9611650485437,67.9611650485437,43.6893203883495,53.3980582524272,63.1067961165049,48.5436893203883,38.8349514563107,33.9805825242718,33.9805825242718,102291.480547452,111251478.472831
50,Southern Park Heights,78.2122905027933,72.6256983240224,54.0037243947858,35.3817504655493,40.9683426443203,24.2085661080074,39.1061452513966,26.0707635009311,18.6219739292365,24052.2213722085,27876227.5906738
51,Southwest Baltimore,82.3529411764706,75.8169934640523,66.6666666666667,60.1307189542484,35.2941176470588,37.9084967320261,26.1437908496732,37.9084967320261,37.9084967320261,28355.5635813649,37766068.8367913
52,The Waverlies,53.5714285714286,35.7142857142857,62.5,53.5714285714286,62.5,26.7857142857143,22.3214285714286,49.1071428571429,40.1785714285714,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,97.3684210526316,92.1052631578947,76.3157894736842,39.4736842105263,31.5789473684211,39.4736842105263,26.3157894736842,47.3684210526316,36.8421052631579,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,69.7674418604651,63.953488372093,46.5116279069767,11.6279069767442,52.3255813953488,40.6976744186047,23.2558139534884,23.2558139534884,23.2558139534884,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,64.8854961832061,99.236641221374,30.5343511450382,45.8015267175573,72.5190839694656,45.8015267175573,61.0687022900763,49.618320610687,19.0839694656489,42573.1244161893,45494092.9497963
